,Unnamed: 0,Application Number,Orig Funding Request,Cmtd Funding Request,Consulting Firm's Name,Consulting Firm's Email,Applicant Type,Applicant City,Applicant State,Orig Discount,Cmtd Discount,Service Type,Function,funding_gap
1663,1663,170050808,6254,6254,Resource Renewal Project,baltman@colemangroupconsulitng.com,School,CHICAGO,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Racks,0
33997,33997,170050808,6931,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Router,6931
25961,25961,170050808,3254,3254,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Racks,0
55415,55415,170063399,7381,7381,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,OTTAWA,IL,70 %,70 %,Internal Connections,Cabling,0
23212,23212,170050808,4558,4558,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Racks,0
18507,18507,170050808,10791,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Router,10791
5108,5108,170050808,150,150,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Router,0
31301,31301,170050808,22998,18138,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Switches,4860
4760,4760,170050808,1806,1806,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Racks,0
2146,2146,170050808,21240,21240,Resource Renewal Project,baltman@colemangroupconsulitng.com,Consortium,CHICAGO,IL,40 %,40 %,Basic Maintenance Of Internal Connections,Router,0
57437,57437,170054925,125400,17599,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,85 %,85 %,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",107801
87444,87444,170056450,2060,2060,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,INGLESIDE,IL,80 %,80 %,Basic Maintenance Of Internal Connections,Switches,0
63759,63759,170054925,58401,58401,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30 %,30 %,Internal Connections,Switches,0
61376,61376,170054925,14264,14264,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30 %,30 %,Internal Connections,"Antennas, Connectors, And Related Components",0
87787,87787,170079333,10907,8233,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,BEACH PARK,IL,85 %,85 %,Internal Connections,Wireless Controller,2674
28540,28540,170050808,4523,4523,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Cabling,0
51109,51109,170055426,6912,6912,Ajd Consulting Services,4jdare@gmail.com,School District,HAVANA,IL,80 %,80 %,Internet Access And/Or Telecommunications,Other,0
17118,17118,170050808,4724,4724,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Caching,0
67970,67970,170065592,16117,16117,Btu Consultants,carol@btu-consultants.com,School District,JOHNSBURG,IL,50 %,50 %,Internal Connections,Cabling,0
55118,55118,170063399,3486,3486,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,OTTAWA,IL,70 %,70 %,Basic Maintenance Of Internal Connections,Wap,0
81015,81015,170082440,10448,0,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,80 %,80 %,Internal Connections,Cabling,10448
16346,16346,170050808,294,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Router,294
30579,30579,170050808,3911,3911,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Wap,0
13068,13068,170050808,3321,3321,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Racks,0
75160,75160,170049041,678,491,,,School District,STRASBURG,IL,10 %,10 %,Basic Maintenance Of Internal Connections,Ups/Battery Backup,187
58292,58292,170054925,125400,17599,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,85 %,85 %,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",107801
71182,71182,170057078,45495,12609,"E2e Exchange, Llc",sdp@erateexchange.com,School District,GLASFORD,IL,60 %,60 %,Basic Maintenance Of Internal Connections,Switches,32886
63035,63035,170054925,58401,58401,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30 %,30 %,Basic Maintenance Of Internal Connections,Switches,0
24238,24238,170050808,3285,3285,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Wap,0
29399,29399,170050808,4647,4647,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Router,0
11556,11556,170050808,5370,5370,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
83905,83905,170082440,10795,10795,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,80 %,80 %,Internal Connections,Switches,0
50843,50843,170055427,2250,2250,Ajd Consulting Services,4jdare@gmail.com,School District,KELL,IL,90 %,90 %,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
19221,19221,170050808,4380,4380,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Wireless Controller,0
30149,30149,170050808,2950,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Router,2950
67304,67304,170065592,20143,19338,Btu Consultants,carol@btu-consultants.com,School District,JOHNSBURG,IL,50 %,50 %,Internal Connections,Firewall Service And Components,805
39804,39804,170072515,11516,10901,New Hope Technology Foundation,jhughes@newhopetech.org,School,CHICAGO,IL,85 %,85 %,Internal Connections,"Antennas, Connectors, And Related Components",615
59864,59864,170054925,14264,14264,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30 %,30 %,Internet Access And/Or Telecommunications,Cellular Voice,0
46026,46026,170060272,638,638,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,OTTAWA,IL,20 %,20 %,Internet Access And/Or Telecommunications,Cellular Voice,0
76683,76683,170069211,123600,3600,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,EAST PEORIA,IL,60 %,60 %,Internet Access And/Or Telecommunications,Other,120000
23051,23051,170050808,837,591,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Ups/Battery Backup,246
49102,49102,170058650,3360,3360,"Erateprogram, Llc",rsenturia@erateprogram.com,School District,FARMINGTON,IL,70 %,70 %,Internet Access And/Or Telecommunications,Lit Fiber Service,0
32178,32178,170050808,1694,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Wap,1694
74238,74238,170082069,1943,1457,,,School District,CENTRALIA,IL,90 %,90 %,Internal Connections,Racks,486
55234,55234,170063399,7381,7381,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,OTTAWA,IL,70 %,70 %,Basic Maintenance Of Internal Connections,Wireless Controller,0
15911,15911,170050808,5031,5031,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Cabling,0
10516,10516,170050808,7971,7971,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Caching,0
26008,26008,170050808,3254,3254,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Wireless Controller,0
74590,74590,170055968,3092,3092,,,School District,PITTSFIELD,IL,20 %,20 %,Internal Connections,Switches,0
37504,37504,170059193,1584,1584,,,School District,ALTAMONT,IL,20 %,20 %,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,0
594,594,160012842,1739,1739,,,School District,Chicago,IL,50 %,50 %,Internet Access And/Or Telecommunications,Cellular Voice,0
3660,3660,170050808,675,675,Resource Renewal Project,baltman@colemangroupconsulitng.com,School,CHICAGO,IL,60 %,60 %,Basic Maintenance Of Internal Connections,Racks,0
21901,21901,170050808,199,199,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Switches,0
21334,21334,170050808,630,630,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Ups/Battery Backup,0
40237,40237,170057762,431,431,Ajd Consulting Services,4jdare@gmail.com,School District,WEST FRANKFORT,IL,30 %,30 %,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
34834,34834,170082762,1175,1175,E-Rate Support Services,david@eratesupportservices.com,Library System,ANNA,IL,70 %,70 %,Internet Access And/Or Telecommunications,Lit Fiber Service,0
25962,25962,170050808,3254,3254,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Racks,0
745,745,170048269,24256,0,E-Stream Technology Solutions,erate@estreamtech.com,School,CHICAGO,IL,85 %,85 %,Internal Connections,Cabling,24256
1564,1564,170050808,6254,6254,Resource Renewal Project,baltman@colemangroupconsulitng.com,School,CHICAGO,IL,50 %,50 %,Internal Connections,Racks,0
29618,29618,170050808,7284,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Caching,7284
74881,74881,160008270,760,288,,,School District,CLINTON,IL,20 %,20 %,Internet Access And/Or Telecommunications,Cellular Voice,472
728,728,170048269,15074,0,E-Stream Technology Solutions,erate@estreamtech.com,School,CHICAGO,IL,85 %,85 %,Internal Connections,"Antennas, Connectors, And Related Components",15074
56124,56124,170063780,2375,2375,"Infinite Connections, Inc.",jkratochvil@infiniteconnect.net,School District,ROUND LAKE,IL,90 %,90 %,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,0
52549,52549,170055826,55740,55740,"Infinite Connections, Inc.",jkratochvil@infiniteconnect.net,School District,CHICAGO,IL,90 %,90 %,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
1937,1937,170050808,12168,12168,Resource Renewal Project,baltman@colemangroupconsulitng.com,Consortium,CHICAGO,IL,40 %,40 %,Basic Maintenance Of Internal Connections,Firewall Service And Components,0
56721,56721,170053377,3891,0,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,CARY,IL,50 %,50 %,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,3891
1951,1951,170050808,12168,12168,Resource Renewal Project,baltman@colemangroupconsulitng.com,Consortium,CHICAGO,IL,40 %,40 %,Internal Connections,Ups/Battery Backup,0
29101,29101,170050808,3342,3342,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Switches,0
15636,15636,170050808,6626,6626,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Wap,0
14101,14101,170050808,150,150,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Switches,0
61572,61572,170054925,14264,14264,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30 %,30 %,Basic Maintenance Of Internal Connections,Racks,0
8174,8174,170050808,1219,1219,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Caching,0
24346,24346,170050808,270,270,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Router,0
65761,65761,170076535,755,0,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,ROMEOVILLE,IL,80 %,80 %,Basic Maintenance Of Internal Connections,Ups/Battery Backup,755
33699,33699,170050808,4279,4279,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Firewall Service And Components,0
49179,49179,170072124,2736,2736,New Hope Technology Foundation,jhughes@newhopetech.org,School District,LOCKPORT,IL,30 %,30 %,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,0
46517,46517,170067437,38101,0,,,School District,OAK LAWN,IL,85 %,85 %,Internet Access And/Or Telecommunications,Cellular Voice,38101
10688,10688,170050808,7971,7971,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Cabling,0
5638,5638,170050808,7743,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Wap,7743
19724,19724,170050808,3061,3061,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Switches,0
54547,54547,160016913,134442,134442,,,School District,MELROSE PARK,IL,90 %,90 %,Internet Access And/Or Telecommunications,Cellular Voice,0
13289,13289,170050808,1642,1642,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Cabling,0
39379,39379,160024526,33600,33600,,,School,QUINCY,IL,70 %,70 %,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
12985,12985,170050808,3321,3321,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Wap,0
50764,50764,170055926,24979,24979,,,School District,ALTON,IL,85 %,85 %,Internet Access And/Or Telecommunications,Lit Fiber Service,0
79281,79281,170062236,541,541,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,VILLA PARK,IL,20 %,20 %,Internet Access And/Or Telecommunications,Lit Fiber Service,0
83634,83634,170082440,10795,10795,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,80 %,80 %,Internal Connections,Switches,0
10449,10449,170050808,1166,1166,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Firewall Service And Components,0
12628,12628,170050808,4440,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Router,4440
44415,44415,170047277,1747,1651,"E2e Exchange, Llc",sdp@erateexchange.com,School District,FARMER CITY,IL,10 %,10 %,Basic Maintenance Of Internal Connections,Ups/Battery Backup,96
803,803,170048269,5829,5829,E-Stream Technology Solutions,erate@estreamtech.com,School,CHICAGO,IL,90 %,90 %,Internal Connections,Wap,0
62580,62580,170054925,58401,58401,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30 %,30 %,Basic Maintenance Of Internal Connections,Switches,0
6419,6419,170050808,1423,1423,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Caching,0
29363,29363,170050808,4647,4647,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Racks,0
3627,3627,170050808,675,675,Resource Renewal Project,baltman@colemangroupconsulitng.com,School,CHICAGO,IL,60 %,60 %,Internal Connections,Router,0
65105,65105,170056026,1121,1121,E-Rate Online Llc,msagnella@erateportal.com,School District,WORTH,IL,30 %,30 %,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
28756,28756,170050808,4210,4210,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
72239,72239,170058374,2880,2880,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,ALSIP,IL,80 %,80 %,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,0
1158,1158,170047887,13282,13282,"E2e Exchange, Llc",sdp@erateexchange.com,Library,BERWYN,IL,90 %,90 %,Internal Connections,Ups/Battery Backup,0
86090,86090,170047844,1119,1119,"E2e Exchange, Llc",sdp@erateexchange.com,School District,MURPHYBORO,IL,30 %,30 %,Basic Maintenance Of Internal Connections,Firewall Service And Components,0
1523,1523,170050808,6254,6254,Resource Renewal Project,baltman@colemangroupconsulitng.com,School,CHICAGO,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Switches,0
82058,82058,170082440,21817,0,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,80 %,80 %,Internal Connections,Cabling,21817
30344,30344,170050808,2424,2424,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Cabling,0
4686,4686,170050808,2081,2081,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Cabling,0
65684,65684,170076535,6415,5469,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,ROMEOVILLE,IL,80 %,80 %,Basic Maintenance Of Internal Connections,Ups/Battery Backup,946
17074,17074,170050808,2047,1861,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Ups/Battery Backup,186
50845,50845,170055427,1026,513,Ajd Consulting Services,4jdare@gmail.com,School District,KELL,IL,90 %,90 %,Internet Access And/Or Telecommunications,Lit Fiber Service,513
19813,19813,170050808,3061,3061,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Racks,0
38730,38730,160041963,5256,5256,,,School,ROCK ISLAND,IL,40 %,40 %,Internet Access And/Or Telecommunications,Lit Fiber Service,0
64368,64368,170072103,26837,24153,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,BELVIDERE,IL,80 %,80 %,Internal Connections,Caching,2684
38554,38554,160042041,0,845,,,Library,NILES,IL,0 %,20 %,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,-845
13813,13813,170050808,4608,1953,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Racks,2655
2631,2631,170050808,12896,5845,Resource Renewal Project,baltman@colemangroupconsulitng.com,Consortium,CHICAGO,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Switches,7051
118,118,170048708,4500,4500,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,0
26443,26443,170050808,3982,3982,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Firewall Service And Components,0
30299,30299,170050808,2950,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Firewall Service And Components,2950
45459,45459,170053111,42035,35945,E-Rate Professional$.Com,ddietrich@e-rateprofessionals.com,School District,FAIRBURY,IL,70 %,70 %,Internal Connections,Wireless Controller,6090
76963,76963,170070754,14893,14893,Epic Communications,,School District,BEECHER,IL,60 %,60 %,Internal Connections,Switches,0
81416,81416,170082440,67838,57608,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,80 %,80 %,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",10230
41176,41176,160006565,943,943,,,School District,ORLAND PARK,IL,50 %,50 %,Internal Connections,"Antennas, Connectors, And Related Components",0
20053,20053,170050808,11029,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Ups/Battery Backup,11029
7177,7177,170050808,4780,4780,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Wap,0
87782,87782,170079333,10907,8233,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,BEACH PARK,IL,85 %,85 %,Basic Maintenance Of Internal Connections,Wap,2674
77675,77675,170067860,26317,26317,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,EVANSTON,IL,60 %,60 %,Internal Connections,Switches,0
29731,29731,170050808,7812,6576,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Ups/Battery Backup,1236
60333,60333,170054925,14264,14264,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30 %,30 %,Basic Maintenance Of Internal Connections,Switches,0
21707,21707,170050808,10130,10130,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Router,0
15283,15283,170050808,14326,4287,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",10039
3380,3380,170050808,3688,3688,Resource Renewal Project,baltman@colemangroupconsulitng.com,School,CHICAGO,IL,60 %,60 %,Internal Connections,Wireless Controller,0
23772,23772,170050808,2950,2950,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Caching,0
293,293,170064923,203,203,"E-Rate Funding Services, Llc",dave.erfs@att.net,Library System,Collinsville,IL,20 %,20 %,Managed Internal Broadband Services,Existing Equipment,0
21131,21131,170050808,1238,1238,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Ups/Battery Backup,0
53440,53440,160007649,62489,62489,,,School District,CARY,IL,50 %,50 %,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
18320,18320,170050808,6176,6176,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Switches,0
58184,58184,170054925,125400,17599,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,85 %,85 %,Internal Connections,"Antennas, Connectors, And Related Components",107801
62915,62915,170054925,58401,58401,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30 %,30 %,Internal Connections,Switches,0
76852,76852,170075838,578,578,Btu Consultants,carol@btu-consultants.com,School District,BELLEVILLE,IL,20 %,20 %,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
61474,61474,170054925,14264,14264,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30 %,30 %,Internal Connections,Wap,0
51439,51439,170047945,16811,10998,"E2e Exchange, Llc",sdp@erateexchange.com,School District,CHICAGO HEIGHTS,IL,85 %,85 %,Internal Connections,Cabling,5813
26155,26155,170050808,3829,3829,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
87562,87562,170058378,16017,16017,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,INGLESIDE,IL,80 %,80 %,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
70108,70108,160024496,43680,43680,,,School District,ROMEOVILLE,IL,80 %,80 %,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,0
58805,58805,170054925,125400,17599,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,85 %,85 %,Basic Maintenance Of Internal Connections,Cabling,107801
42525,42525,170060881,2537,2537,"Erateprogram, Llc",rsenturia@erateprogram.com,School District,GALVA,IL,20 %,20 %,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
21655,21655,170050808,2142,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Caching,2142
65546,65546,170064294,2037,2037,Clientfirst Technology Consulting,mstruwing@clientfirstcg.com,School District,DE KALB,IL,20 %,20 %,Internet Access And/Or Telecommunications,Cellular Voice,0
55190,55190,170063399,7381,7381,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,OTTAWA,IL,70 %,70 %,Basic Maintenance Of Internal Connections,Wap,0
16277,16277,170050808,2970,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Wap,2970
48579,48579,170047311,36,36,"E2e Exchange, Llc",sdp@erateexchange.com,School District,BRADFORD,IL,10 %,10 %,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
47207,47207,160046535,311,311,,,School District,OAKWOOD,IL,10 %,10 %,Basic Maintenance Of Internal Connections,Racks,0
19124,19124,170050808,4380,4380,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Switches,0
25388,25388,170050808,4277,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Wap,4277
26672,26672,170050808,3600,3600,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
84171,84171,170082440,210189,194069,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,80 %,80 %,Internal Connections,"Antennas, Connectors, And Related Components",16120
32835,32835,170050808,293,293,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Wap,0
21811,21811,170050808,10130,10130,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Racks,0
79973,79973,170082440,878,783,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,20 %,20 %,Internal Connections,"Antennas, Connectors, And Related Components",95
87604,87604,170058378,3615,3615,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,INGLESIDE,IL,20 %,20 %,Internet Access And/Or Telecommunications,Cellular Voice,0
25244,25244,170050808,6687,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Firewall Service And Components,6687
56218,56218,170072833,1323,1323,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,EAST MOLINE,IL,30 %,30 %,Internet Access And/Or Telecommunications,Cellular Voice,0
76948,76948,170070754,14893,14893,Epic Communications,,School District,BEECHER,IL,60 %,60 %,Internal Connections,Ups/Battery Backup,0
28867,28867,170050808,4210,4210,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Internal Connections,Racks,0
6938,6938,170050808,240,240,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50 %,50 %,Basic Maintenance Of Internal Connections,Firewall Service And Components,0
54911,54911,170063399,3486,3486,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,OTTAWA,IL,70 %,70 %,Internal Connections,Cabling,0
77065,77065,170070754,14325,14325,Epic Communications,,School District,BEECHER,IL,60 %,60 %,Internal Connections,Wap,0
35927,35927,170067572,4303,4303,"Ads Advanced Data Services, Inc.",erate@adsadsi.com,School,Manteno,IL,30 %,30 %,Internet Access And/Or Telecommunications,Cellular Voice,0
